PNR,baggage_id,first_name,last_name,org_airport,dest_airport,flt_code,flt_seq_num,dep_date
5RA7WE,7382446199,Autumn,Woods,MHT,FLL,UA0691,2,2/21/23
3QMPBO,200539140,Joe,Haynes,TPA,GSP,UA0329,1,2/23/23
3QMPBO,200539140,Joe,Haynes,GSP,CAE,UA0850,2,2/21/23
95K8XK,6555298907,Jessica,Flores,DFW,PHL,UA0680,1,2/23/23
95K8XK,6555298907,Jessica,Flores,PHL,HRL,UA0036,2,2/21/23
IVIRVH,7728241529,Rick,Freeman,PHL,RIC,UA0417,1,2/25/23
IVIRVH,7728241529,Rick,Freeman,RIC,ABQ,UA0001,2,2/21/23
FGWNYW,9850540331,Cory,Adams,AVL,OAK,UA0961,1,2/23/23
FGWNYW,9850540331,Cory,Adams,OAK,IAD,UA0298,2,2/21/23
74CR3X,4929050239,Jessica,Morgan,MSP,HSV,UA0373,1,2/25/23
74CR3X,4929050239,Jessica,Morgan,HSV,EWR,UA0454,2,2/21/23
NFZZ02,3034101885,Kimberly,King,FAR,BHM,UA0778,1,2/21/23
NFZZ02,3034101885,Kimberly,King,BHM,LAX,UA0343,2,2/21/23
S1KVHM,6096643695,David,Molina,SFO,SDF,UA0932,1,2/25/23
S1KVHM,6096643695,David,Molina,SDF,ABQ,UA0392,2,2/21/23
U6HC3Y,6028961617,Patricia,White,MCI,GPT,UA0147,1,2/22/23
U6HC3Y,6028961617,Patricia,White,GPT,MEM,UA0723,2,2/21/23
SNS3OH,3699552551,Jennifer,Schroeder,FWA,SMF,UA0463,1,2/25/23
SNS3OH,3699552551,Jennifer,Schroeder,SMF,GRR,UA0055,2,2/21/23
6T4YPP,1757358289,Erin,Snyder,LGB,GPT,UA0489,1,2/24/23
6T4YPP,1757358289,Erin,Snyder,GPT,ORF,UA0560,2,2/21/23
WU6PPT,3801717901,Gregory,Wells,BZN,BMI,UA0059,1,2/21/23
WU6PPT,3801717901,Gregory,Wells,BMI,MCO,UA0060,2,2/21/23
XFIKGR,1771041576,Joshua,Holloway,BWI,ORF,UA0974,1,2/24/23
XFIKGR,1771041576,Joshua,Holloway,ORF,GSP,UA0760,2,2/21/23
BMVHI5,586427948,Stacey,Brady,LGA,MFE,UA0811,1,2/25/23
BMVHI5,586427948,Stacey,Brady,MFE,LAX,UA0393,2,2/21/23
T48WSE,9596185229,Darryl,Long,PHL,GSP,UA0567,1,2/25/23
T48WSE,9596185229,Darryl,Long,GSP,ALB,UA0947,2,2/21/23
NYVNZQ,235415382,Thomas,Rivera,EVV,EWR,UA0921,1,2/22/23
NYVNZQ,235415382,Thomas,Rivera,EWR,JAN,UA0509,2,2/21/23
FPCVAK,8228084324,Pamela,Rogers,BLI,BTV,UA0528,1,2/24/23
FPCVAK,8228084324,Pamela,Rogers,BTV,TUL,UA0610,2,2/21/23
ZA31U5,2008912110,Terri,Scott,MIA,MDT,UA0968,1,2/24/23
ZA31U5,2008912110,Terri,Scott,MDT,MKE,UA0772,2,2/21/23
PKIVK8,2020300847,Michelle,Le,JAN,IND,UA0239,1,2/21/23
PKIVK8,2020300847,Michelle,Le,IND,LAS,UA0110,2,2/21/23
I0G1B3,2353016360,Edward,Johnson,OKC,SAT,UA0591,1,2/22/23
I0G1B3,2353016360,Edward,Johnson,SAT,ECP,UA0554,2,2/21/23
6BSX2I,2881408836,Sabrina,York,DCA,HSV,UA0438,1,2/21/23
6BSX2I,2881408836,Sabrina,York,HSV,PHX,UA0193,2,2/21/23
LAO0VL,6157321061,Melissa,Haynes,LGB,MSP,UA0317,1,2/24/23
LAO0VL,6157321061,Melissa,Haynes,MSP,SFO,UA0791,2,2/21/23
QAWNSK,7583941807,Diane,Houston,OMA,JFK,UA0282,1,2/21/23
QAWNSK,7583941807,Diane,Houston,JFK,DTW,UA0686,2,2/21/23
I7MZHE,6992134643,Patricia,Wolfe,CWA,BLI,UA0735,1,2/23/23
I7MZHE,6992134643,Patricia,Wolfe,BLI,PDX,UA0773,2,2/21/23
ZEMZ1T,6785447485,Brandy,Bates,SLC,SMF,UA0232,1,2/23/23
ZEMZ1T,6785447485,Brandy,Bates,SMF,MCO,UA0350,2,2/21/23
3WJ8R7,5230089619,Brittney,Decker,ORD,MYR,UA0752,1,2/22/23
3WJ8R7,5230089619,Brittney,Decker,MYR,JAX,UA0474,2,2/21/23
QB9YIQ,5630888538,Steven,Jordan,AGS,BMI,UA0539,1,2/24/23
QB9YIQ,5630888538,Steven,Jordan,BMI,PHL,UA0081,2,2/21/23
LMOA31,8232653969,Christopher,Barrera,SEA,CWA,UA0933,1,2/22/23
LMOA31,8232653969,Christopher,Barrera,CWA,MCI,UA0194,2,2/21/23
G1QWY8,1470707768,Michael,Smith,ELP,SMF,UA0243,1,2/21/23
G1QWY8,1470707768,Michael,Smith,SMF,PHL,UA0679,2,2/21/23
J6LLFL,8048162526,Emily,Pittman,SLC,ATL,UA0859,1,2/23/23
J6LLFL,8048162526,Emily,Pittman,ATL,SAV,UA0033,2,2/21/23
ZBOPFJ,3674637850,Kimberly,Jefferson,SAT,ORF,UA0646,1,2/25/23
ZBOPFJ,3674637850,Kimberly,Jefferson,ORF,MYR,UA0779,2,2/21/23
3MYYHO,4621237345,Andrea,Mckenzie,SAT,SDF,UA0975,1,2/21/23
3MYYHO,4621237345,Andrea,Mckenzie,SDF,AVL,UA0376,2,2/21/23
OA241J,8299370334,Jacob,Davis,CWA,FLL,UA0000,1,2/23/23
OA241J,8299370334,Jacob,Davis,FLL,BOS,UA0770,2,2/21/23
58UYZ1,8385625632,Elaine,Barnes,CAE,OAK,UA0102,1,2/24/23
58UYZ1,8385625632,Elaine,Barnes,OAK,DCA,UA0416,2,2/21/23
SZMWGY,361028670,Rebecca,Nicholson,HNL,GRR,UA0374,1,2/23/23
SZMWGY,361028670,Rebecca,Nicholson,GRR,MHT,UA0914,2,2/21/23
U2CHB0,9992726739,Tammy,Villegas,DSM,ECP,UA0852,1,2/25/23
U2CHB0,9992726739,Tammy,Villegas,ECP,LGA,UA0449,2,2/21/23
8M8ERS,6759530330,Robert,White,ELP,HSV,UA0903,1,2/24/23
8M8ERS,6759530330,Robert,White,HSV,SDF,UA0907,2,2/21/23
KYJ4ZI,6484338399,John,Baker,LGB,JAC,UA0874,1,2/25/23
KYJ4ZI,6484338399,John,Baker,JAC,ATL,UA0949,2,2/21/23
1OFDXS,6602092636,Joseph,Sheppard,OKC,GPT,UA0966,1,2/23/23
1OFDXS,6602092636,Joseph,Sheppard,GPT,MCI,UA0946,2,2/21/23
P09K70,8099517941,Christine,Cortez,AUS,ICT,UA0020,1,2/22/23
P09K70,8099517941,Christine,Cortez,ICT,FLL,UA0187,2,2/21/23
2Y90A4,6064805963,Matthew,Terry,GPT,LAX,UA0518,1,2/24/23
2Y90A4,6064805963,Matthew,Terry,LAX,FLL,UA0170,2,2/21/23
H209MU,5675872186,Kyle,Dixon,SNA,JAX,UA0388,1,2/23/23
H209MU,5675872186,Kyle,Dixon,JAX,BNA,UA0969,2,2/21/23
MI1NZ0,5080578165,Carrie,Decker,TPA,PDX,UA0288,1,2/23/23
MI1NZ0,5080578165,Carrie,Decker,PDX,SDF,UA0767,2,2/21/23
1GRJEO,2142622241,Heidi,Wall,PIT,RSW,UA0713,1,2/25/23
1GRJEO,2142622241,Heidi,Wall,RSW,LGA,UA0095,2,2/21/23
X7UH5I,4721960514,Joseph,Haley,MKE,GRB,UA0600,1,2/25/23
X7UH5I,4721960514,Joseph,Haley,GRB,JAN,UA0778,2,2/21/23
WDOADK,6115556927,Mary,Ellis,LAX,FWA,UA0427,1,2/25/23
WDOADK,6115556927,Mary,Ellis,FWA,DAL,UA0559,2,2/21/23
7Q2TMW,4195844290,Amy,Montgomery,PBI,ICT,UA0939,1,2/24/23
7Q2TMW,4195844290,Amy,Montgomery,ICT,DTW,UA0696,2,2/21/23
PXYA77,187798709,April,Wilson,SLC,MSP,UA0828,1,2/22/23
PXYA77,187798709,April,Wilson,MSP,BNA,UA0516,2,2/21/23
U56QMD,8612274562,Mark,Alvarado,HNL,BMI,UA0695,1,2/24/23
U56QMD,8612274562,Mark,Alvarado,BMI,AVL,UA0823,2,2/21/23
Z3CTHB,6925590854,Joseph,Hill,STL,MSP,UA0946,1,2/25/23
Z3CTHB,6925590854,Joseph,Hill,MSP,SAT,UA0330,2,2/21/23
X4SZW2,9266373062,Erin,Dean,AVL,ORD,UA0435,1,2/24/23
X4SZW2,9266373062,Erin,Dean,ORD,DEN,UA0006,2,2/21/23
Q0CSD7,5138041414,Kelly,Rice,GRR,OAK,UA0628,1,2/24/23
Q0CSD7,5138041414,Kelly,Rice,OAK,ALB,UA0035,2,2/21/23
GY3V7O,9188945968,Jesse,Lewis,IAD,ELP,UA0197,1,2/24/23
GY3V7O,9188945968,Jesse,Lewis,ELP,SDF,UA0103,2,2/21/23
BUEHQS,9933598831,Justin,Walker,ROC,DFW,UA0513,1,2/21/23
BUEHQS,9933598831,Justin,Walker,DFW,FWA,UA0771,2,2/21/23
SY6BGM,2260456309,Laura,Wood,JAC,FNT,UA0068,1,2/21/23
SY6BGM,2260456309,Laura,Wood,FNT,CLT,UA0690,2,2/21/23
3CC0W5,534895057,Laura,Franklin,ORD,GSP,UA0256,1,2/21/23
3CC0W5,534895057,Laura,Franklin,GSP,DEN,UA0027,2,2/21/23
84PXXT,581600874,Tanya,Chapman,AUS,IND,UA0330,1,2/21/23
84PXXT,581600874,Tanya,Chapman,IND,DSM,UA0723,2,2/21/23
LUBKPI,5216718419,Kelly,Green,PBI,TPA,UA0917,1,2/21/23
LUBKPI,5216718419,Kelly,Green,TPA,PBI,UA0117,2,2/21/23
ZPAA65,9617483982,Keith,Perry,ACT,DCA,UA0741,1,2/24/23
ZPAA65,9617483982,Keith,Perry,DCA,ALB,UA0620,2,2/21/23
P8PTQH,390096785,Charles,Hill,MCO,GSP,UA0924,1,2/22/23
P8PTQH,390096785,Charles,Hill,GSP,MCO,UA0810,2,2/21/23
IRWYDF,889635171,Tracey,Carter,SAT,DCA,UA0973,1,2/24/23
IRWYDF,889635171,Tracey,Carter,DCA,ICT,UA0430,2,2/21/23
1WRYA6,7693893715,Brett,Carrillo,BLI,SAN,UA0430,1,2/22/23
1WRYA6,7693893715,Brett,Carrillo,SAN,RDU,UA0833,2,2/21/23
6J1XMF,7704495455,William,Ashley,YUM,TPA,UA0015,1,2/23/23
6J1XMF,7704495455,William,Ashley,TPA,OKC,UA0927,2,2/21/23
R5B32U,3266707546,Jacqueline,Owens,PHL,EUG,UA0011,1,2/21/23
R5B32U,3266707546,Jacqueline,Owens,EUG,MYR,UA0582,2,2/21/23
PQLKUZ,7757960419,Yvonne,Smith,ACT,SNA,UA0060,1,2/22/23
PQLKUZ,7757960419,Yvonne,Smith,SNA,BZN,UA0649,2,2/21/23
T0XBEJ,3238128582,Troy,Smith,AGS,BOS,UA0746,1,2/25/23
T0XBEJ,3238128582,Troy,Smith,BOS,FNT,UA0204,2,2/21/23
L8YQMF,3861411286,Stuart,Lewis,GPT,BHM,UA0751,1,2/23/23
L8YQMF,3861411286,Stuart,Lewis,BHM,EWR,UA0349,2,2/21/23
CC1SLV,9430402353,Teresa,Mccarthy,PSP,RDU,UA0902,1,2/23/23
CC1SLV,9430402353,Teresa,Mccarthy,RDU,OKC,UA0252,2,2/21/23
PMXBZI,7986199396,Donna,Carpenter,BMI,CAE,UA0273,1,2/25/23
PMXBZI,7986199396,Donna,Carpenter,CAE,PHX,UA0869,2,2/21/23
93BITB,5160376832,Joshua,Anderson,GPT,MKE,UA0318,1,2/22/23
93BITB,5160376832,Joshua,Anderson,MKE,EVV,UA0468,2,2/21/23
XS05YZ,8406933836,Diana,Moore,EVV,PHL,UA0689,1,2/24/23
XS05YZ,8406933836,Diana,Moore,PHL,FWA,UA0621,2,2/21/23
575JQI,5362568729,Marcus,Mathews,SBN,BOS,UA0582,1,2/24/23
575JQI,5362568729,Marcus,Mathews,BOS,JAN,UA0634,2,2/21/23
B8OT7E,6420819807,Tiffany,Beltran,JAC,PBI,UA0057,1,2/23/23
B8OT7E,6420819807,Tiffany,Beltran,PBI,LGB,UA0717,2,2/21/23
6MSJIO,2443938244,Javier,West,ORF,JAX,UA0077,1,2/25/23
6MSJIO,2443938244,Javier,West,JAX,BLI,UA0573,2,2/21/23
6I4X7U,5926458491,David,Smith,TLH,ECP,UA0639,1,2/21/23
6I4X7U,5926458491,David,Smith,ECP,PHX,UA0651,2,2/21/23
A4STKQ,374729513,Sherry,Rodriguez,AVL,ONT,UA0758,1,2/24/23
A4STKQ,374729513,Sherry,Rodriguez,ONT,MCI,UA0631,2,2/21/23
1PJJLB,2556551792,Matthew,Burns,MSP,LAS,UA0127,1,2/24/23
1PJJLB,2556551792,Matthew,Burns,LAS,FAR,UA0311,2,2/21/23
S42KKN,4790952262,Joseph,Evans,JFK,SEA,UA0551,1,2/24/23
S42KKN,4790952262,Joseph,Evans,SEA,SAV,UA0480,2,2/21/23
59NEXF,6350994178,Michael,Moore,EUG,SNA,UA0086,1,2/22/23
59NEXF,6350994178,Michael,Moore,SNA,PDX,UA0043,2,2/21/23
OBSD0T,5834638295,Eric,Cardenas,TLH,DSM,UA0335,1,2/24/23
OBSD0T,5834638295,Eric,Cardenas,DSM,DTW,UA0892,2,2/21/23
7LX8XI,1911720641,William,Grant,ONT,BZN,UA0895,1,2/25/23
7LX8XI,1911720641,William,Grant,BZN,FLL,UA0303,2,2/21/23
PM3GLH,8144904653,Amber,Harvey,MCO,FWA,UA0914,1,2/21/23
PM3GLH,8144904653,Amber,Harvey,FWA,SBN,UA0376,2,2/21/23
8HSDL8,5085963559,Chad,Dalton,LAX,BHM,UA0326,1,2/22/23
8HSDL8,5085963559,Chad,Dalton,BHM,CMH,UA0673,2,2/21/23
3Z1MTW,7211264912,Christian,Burns,PHL,LAS,UA0768,1,2/21/23
3Z1MTW,7211264912,Christian,Burns,LAS,MHT,UA0264,2,2/21/23
QPY58Z,7287514102,Mark,Moreno,BWI,CMH,UA0730,1,2/23/23
QPY58Z,7287514102,Mark,Moreno,CMH,SBN,UA0768,2,2/21/23
0I17IZ,3068379911,Peter,White,LAX,GSP,UA0243,1,2/21/23
0I17IZ,3068379911,Peter,White,GSP,ILM,UA0035,2,2/21/23
SVL7WK,4541955781,Erika,Jones,TUL,ECP,UA0949,1,2/25/23
SVL7WK,4541955781,Erika,Jones,ECP,IAD,UA0827,2,2/21/23
UU2WG7,6719744537,Chelsey,Forbes,ILM,EWR,UA0117,1,2/22/23
UU2WG7,6719744537,Chelsey,Forbes,EWR,MSP,UA0400,2,2/21/23
9D5125,7017865939,Luke,Nguyen,SFO,MDT,UA0764,1,2/21/23
9D5125,7017865939,Luke,Nguyen,MDT,PIT,UA0615,2,2/21/23
AWYJTO,8475122988,Mason,Stevenson,GRR,MHT,UA0594,1,2/25/23
AWYJTO,8475122988,Mason,Stevenson,MHT,GSP,UA0113,2,2/21/23
NM574U,4197335807,Lauren,Perry,TUL,OKC,UA0850,1,2/21/23
NM574U,4197335807,Lauren,Perry,OKC,ABQ,UA0323,2,2/21/23
58B895,4234200267,Carolyn,Jackson,ORF,DTW,UA0006,1,2/25/23
58B895,4234200267,Carolyn,Jackson,DTW,SAV,UA0748,2,2/21/23
CMHQFP,7695794715,Adam,Murphy,SEA,MFE,UA0889,1,2/23/23
CMHQFP,7695794715,Adam,Murphy,MFE,SFO,UA0940,2,2/21/23
SPGK5T,5520376049,Amber,Baker,SAT,ORF,UA0388,1,2/25/23
SPGK5T,5520376049,Amber,Baker,ORF,MLI,UA0904,2,2/21/23
27X65O,693825046,Kimberly,Garcia,TUL,BMI,UA0367,1,2/23/23
27X65O,693825046,Kimberly,Garcia,BMI,PSP,UA0448,2,2/21/23
16SS4N,3009121800,Alexis,Harrison,ATL,ACT,UA0759,1,2/23/23
16SS4N,3009121800,Alexis,Harrison,ACT,IND,UA0134,2,2/21/23
YE6HMS,7021865874,Leonard,Ray,LGB,PIT,UA0800,1,2/24/23
YE6HMS,7021865874,Leonard,Ray,PIT,ROC,UA0563,2,2/21/23
Q7B1U0,8845885331,Ashley,Bowers,MHT,YUM,UA0301,1,2/23/23
Q7B1U0,8845885331,Ashley,Bowers,YUM,MCO,UA0899,2,2/21/23
4JTMFF,5750861445,Michael,Gonzalez,DAL,SLC,UA0859,1,2/22/23
4JTMFF,5750861445,Michael,Gonzalez,SLC,SMF,UA0459,2,2/21/23
FX4O74,7287317772,Marcus,Brown,FAR,ALB,UA0137,1,2/22/23
FX4O74,7287317772,Marcus,Brown,ALB,TUL,UA0635,2,2/21/23
AR4PLV,8893590286,Paige,Clay,FNT,ORF,UA0130,1,2/22/23
AR4PLV,8893590286,Paige,Clay,ORF,ACT,UA0741,2,2/21/23
J06DHC,9551857175,John,Smith,JAN,FNT,UA0843,1,2/23/23
J06DHC,9551857175,John,Smith,FNT,ECP,UA0218,2,2/21/23
8Q523S,2941813335,Linda,Guzman,LAS,MCO,UA0800,1,2/21/23
8Q523S,2941813335,Linda,Guzman,MCO,DFW,UA0854,2,2/21/23
ZE9Q7J,3746681546,Melanie,Kramer,SBN,SDF,UA0650,1,2/25/23
ZE9Q7J,3746681546,Melanie,Kramer,SDF,SAN,UA0760,2,2/21/23
YKF8BL,8071633574,Michael,Sims,SAV,DAL,UA0095,1,2/25/23
YKF8BL,8071633574,Michael,Sims,DAL,FAR,UA0484,2,2/21/23
OUN8CC,7171609111,Carla,Pineda,BOS,CLE,UA0902,1,2/24/23
OUN8CC,7171609111,Carla,Pineda,CLE,JFK,UA0144,2,2/21/23
DVTKRU,2221303064,James,Cook,SJC,ONT,UA0385,1,2/25/23
DVTKRU,2221303064,James,Cook,ONT,ILM,UA0798,2,2/21/23
05PRE0,3454178546,Kent,Griffin,SLC,SAT,UA0167,1,2/23/23
05PRE0,3454178546,Kent,Griffin,SAT,SAN,UA0798,2,2/21/23
U6MFAC,4357481209,Kyle,Fitzpatrick,BHM,PBI,UA0659,1,2/25/23
U6MFAC,4357481209,Kyle,Fitzpatrick,PBI,ILM,UA0868,2,2/21/23
HJ8AMN,7842349170,Scott,Bowman,ELP,PSP,UA0603,1,2/23/23
HJ8AMN,7842349170,Scott,Bowman,PSP,SAV,UA0942,2,2/21/23
XMVA4H,4058445796,Brianna,Wood,YUM,PHX,UA0834,1,2/23/23
XMVA4H,4058445796,Brianna,Wood,PHX,BWI,UA0306,2,2/21/23
GO2K3R,3456449894,Pamela,Long,MCI,FNT,UA0089,1,2/24/23
GO2K3R,3456449894,Pamela,Long,FNT,HRL,UA0899,2,2/21/23
Y6IZUG,954769815,Catherine,Moreno,PSP,PBI,UA0854,1,2/22/23
Y6IZUG,954769815,Catherine,Moreno,PBI,SDF,UA0635,2,2/21/23
YMK2GL,9785678748,Richard,Carlson,BTV,LAX,UA0480,1,2/23/23
YMK2GL,9785678748,Richard,Carlson,LAX,OAK,UA0899,2,2/21/23
PCTR74,7175166202,Lindsay,Mann,PDX,BHM,UA0137,1,2/24/23
PCTR74,7175166202,Lindsay,Mann,BHM,RSW,UA0590,2,2/21/23
EHSB5T,5282457191,Kayla,Arnold,MSP,TUL,UA0065,1,2/22/23
EHSB5T,5282457191,Kayla,Arnold,TUL,MEM,UA0142,2,2/21/23
JDTHE4,8932106353,Kenneth,Powell,EWR,IAD,UA0018,1,2/23/23
JDTHE4,8932106353,Kenneth,Powell,IAD,SAT,UA0496,2,2/21/23
P9ZKY8,7411741551,Tammy,Johnson,SFO,RDU,UA0321,1,2/25/23
P9ZKY8,7411741551,Tammy,Johnson,RDU,HNL,UA0807,2,2/21/23
N5QQYL,9170151775,Ashley,Trevino,SAV,CLE,UA0738,1,2/24/23
N5QQYL,9170151775,Ashley,Trevino,CLE,ORF,UA0698,2,2/21/23
OXTIS7,2358476547,Matthew,Cantu,BLI,SMF,UA0814,1,2/21/23
OXTIS7,2358476547,Matthew,Cantu,SMF,PBI,UA0807,2,2/21/23
OFMOAP,838139896,Kelly,Sexton,ELP,BTV,UA0192,1,2/24/23
OFMOAP,838139896,Kelly,Sexton,BTV,MSY,UA0377,2,2/21/23
OASEPC,6436645256,Nicholas,Roberson,ECP,MLI,UA0951,1,2/21/23
OASEPC,6436645256,Nicholas,Roberson,MLI,ATL,UA0473,2,2/21/23
8O7T6Q,1540348751,Marie,Cross,SJC,MDT,UA0778,1,2/21/23
8O7T6Q,1540348751,Marie,Cross,MDT,PHX,UA0558,2,2/21/23
HEZIK8,951354545,Gina,Jackson,DCA,SAN,UA0810,1,2/22/23
HEZIK8,951354545,Gina,Jackson,SAN,GPT,UA0122,2,2/21/23
FXYUU2,2928038503,Anthony,Martinez,BUF,SFO,UA0765,1,2/21/23
FXYUU2,2928038503,Anthony,Martinez,SFO,ECP,UA0218,2,2/21/23
G0L5AD,5341815060,Amy,Williams,ONT,MSY,UA0133,1,2/23/23
G0L5AD,5341815060,Amy,Williams,MSY,SAN,UA0664,2,2/21/23
Q71MPM,2767419140,Cameron,Johnston,PBI,SAV,UA0978,1,2/21/23
Q71MPM,2767419140,Cameron,Johnston,SAV,FWA,UA0704,2,2/21/23
ZSXQE0,4716151090,Nicole,Romero,BUF,AUS,UA0375,1,2/25/23
ZSXQE0,4716151090,Nicole,Romero,AUS,RIC,UA0939,2,2/21/23
T3A0VH,4674904792,Natasha,Harris,STL,DSM,UA0539,1,2/21/23
T3A0VH,4674904792,Natasha,Harris,DSM,LGB,UA0750,2,2/21/23
EYC6F5,6598729134,David,Sanchez,EVV,BZN,UA0580,1,2/25/23
EYC6F5,6598729134,David,Sanchez,BZN,YUM,UA0193,2,2/21/23
23QXZ1,7134443967,Joseph,Lee,CWA,FWA,UA0246,1,2/21/23
23QXZ1,7134443967,Joseph,Lee,FWA,SNA,UA0022,2,2/21/23
ENVBEK,9846689232,Jonathan,Johnson,EUG,MCO,UA0752,1,2/23/23
ENVBEK,9846689232,Jonathan,Johnson,MCO,DCA,UA0873,2,2/21/23
7MM8W4,8061325649,Alejandro,Rodriguez,ROC,MHT,UA0350,1,2/24/23
7MM8W4,8061325649,Alejandro,Rodriguez,MHT,SAT,UA0868,2,2/21/23
XVFM2R,7629084840,Michael,Bennett,MSY,MCO,UA0841,1,2/22/23
XVFM2R,7629084840,Michael,Bennett,MCO,FLL,UA0526,2,2/21/23
RQ5I8R,3320188621,Natalie,Fields,PBI,RIC,UA0050,1,2/25/23
RQ5I8R,3320188621,Natalie,Fields,RIC,PHX,UA0739,2,2/21/23
4NN1UN,7461432037,Jamie,Gill,FLL,DFW,UA0372,1,2/25/23
4NN1UN,7461432037,Jamie,Gill,DFW,LGA,UA0052,2,2/21/23
XFXXF3,9162481382,Mary,Berg,SLC,SJC,UA0800,1,2/24/23
XFXXF3,9162481382,Mary,Berg,SJC,BZN,UA0607,2,2/21/23
UWQH8Z,5220461958,Shelby,Sullivan,MKE,MHT,UA0781,1,2/25/23
UWQH8Z,5220461958,Shelby,Sullivan,MHT,RNO,UA0505,2,2/21/23
I369CL,8481351724,Whitney,Yu,CWA,ILM,UA0125,1,2/25/23
I369CL,8481351724,Whitney,Yu,ILM,AGS,UA0421,2,2/21/23
0MD6JY,8113846075,Autumn,Williams,BWI,RSW,UA0725,1,2/25/23
0MD6JY,8113846075,Autumn,Williams,RSW,SAT,UA0167,2,2/21/23
Y4VX74,1130201619,Brian,Rodriguez,PIT,SEA,UA0427,1,2/25/23
Y4VX74,1130201619,Brian,Rodriguez,SEA,OMA,UA0433,2,2/21/23
W6YR45,7633559018,Brittany,Li,GRB,SMF,UA0944,1,2/24/23
W6YR45,7633559018,Brittany,Li,SMF,OMA,UA0416,2,2/21/23
VQBYIS,9249125432,Shawn,Parker,PSP,OMA,UA0906,1,2/23/23
VQBYIS,9249125432,Shawn,Parker,OMA,DFW,UA0261,2,2/21/23
KGGO12,7102072022,Elizabeth,Guerrero,LAX,BUF,UA0423,1,2/24/23
KGGO12,7102072022,Elizabeth,Guerrero,BUF,CLT,UA0009,2,2/21/23
GDT3NZ,6854600316,Heather,Jimenez,MIA,JFK,UA0404,1,2/23/23
GDT3NZ,6854600316,Heather,Jimenez,JFK,PHL,UA0642,2,2/21/23
9W628L,9841417583,Linda,Taylor,DAL,ILM,UA0815,1,2/21/23
9W628L,9841417583,Linda,Taylor,ILM,YUM,UA0956,2,2/21/23
TEJHB2,3827241301,Frank,Newman,EWR,HSV,UA0990,1,2/22/23
TEJHB2,3827241301,Frank,Newman,HSV,STL,UA0405,2,2/21/23
MEK97G,8910298207,Amber,Hunter,EVV,DEN,UA0757,1,2/22/23
MEK97G,8910298207,Amber,Hunter,DEN,LAX,UA0618,2,2/21/23
NG7A8L,8019562760,Seth,Anderson,CLE,EUG,UA0774,1,2/23/23
NG7A8L,8019562760,Seth,Anderson,EUG,MCI,UA0197,2,2/21/23
FLQNN1,5179058233,Luis,Poole,MEM,BOS,UA0805,1,2/23/23
FLQNN1,5179058233,Luis,Poole,BOS,ORD,UA0949,2,2/21/23
SN3CBX,9506265356,Henry,Rivera,ELP,MCI,UA0796,1,2/23/23
SN3CBX,9506265356,Henry,Rivera,MCI,SEA,UA0528,2,2/21/23
CGNLG8,3393669661,Daniel,Jackson,ORD,IAD,UA0846,1,2/25/23
CGNLG8,3393669661,Daniel,Jackson,IAD,EUG,UA0379,2,2/21/23
L1NJ0K,7440868148,Misty,Lee,PBI,SJC,UA0086,1,2/24/23
L1NJ0K,7440868148,Misty,Lee,SJC,OAK,UA0274,2,2/21/23
T9IFM2,1785549029,Natalie,Parker,SNA,ONT,UA0745,1,2/21/23
